dataset,model,k,accuracy,fmeasure,precision,recall,roc
abalone,rf,7,0.8182892588029682,0.8065021786368687,0.8005917526598164,0.8182892588029682,0.8776880264411879
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,25,0.9789318428815402,0.9788507884704676,0.9792930565526444,0.9789318428815402,0.9954494191678928


RFE
vcd,lr,5,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9152380952380952
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,15,0.516810097532989,0.4809050076115735,0.5075405412163847,0.516810097532989,0.7066814831572874
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,lr,6,0.8084745762711865,0.7919056264211144,0.8447792913250816,0.8084745762711865,0.903339947089947
sonar,rf,6,0.7794425087108013,0.7732124021797089,0.8037209932002914,0.7794425087108013,0.8453312877054296
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,ab,11,0.8444444444444444,0.8437310456270268,0.8462548811199024,0.8444444444444444,0.8930555555555555
chd,lr,10,0.8084745762711864,0.7917509294405795,0.8433488637616916,0.8084745762711864,0.9011739417989416
abalone,gb,7,0.8146998825315876,0.8062629194796098,0.8069711380421856,0.8146998825315876,0.8831740681102987
wine,ab,7,0.8785869329281528,0.8587789322315921,0.8704212606912568,0.8785869329281528,0.8766954188230784
breast,lr,22,0.9841950007762768,0.9841462505596564,0.984457731136314,0.9841950007762768,0.9954513038610648


EM
vcd,rf,5,0.8161290322580645,0.8123959900711812,0.852320670389427,0.8161290322580645,0.8973809523809525
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,17,0.5191336775674126,0.4908157761344987,0.5169439662622581,0.5191336775674126,0.7065722359944295
diabetes,lr,5,0.7708683473389355,0.7625831986844046,0.7662935301204801,0.7708683473389355,0.8288930817610064
heart_disease,rf,3,0.8217514124293785,0.8172026476664161,0.8290860869355317,0.8217514124293785,0.8587962962962964
sonar,ab,17,0.7403019744483159,0.7368374501605282,0.7524050774364364,0.7403019744483159,0.7631802579571458
stroke,lr,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470627919045148
shd,nb,7,0.8555555555555555,0.8549396448555123,0.8566381689874702,0.8555555555555555,0.8869444444444443
chd,rf,3,0.8319209039548022,0.827342891301344,0.838250318379132,0.8319209039548022,0.8600818452380953
abalone,gb,7,0.8147001690399106,0.8067161160420703,0.8081311269413506,0.8147001690399106,0.8831757580335852
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,20,0.9806862288464524,0.9805982374190704,0.981135452837828,0.9806862288464524,0.9955823008680854


RFC
vcd,lr,5,0.803225806451613,0.8017699904581759,0.8338760053934176,0.803225806451613,0.9038095238095238
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,lr,4,0.490447504302926,0.4349904059575256,0.4626908927739815,0.490447504302926,0.6715923368947174
diabetes,ab,5,0.7747729394788218,0.7682953244842212,0.7706002227763256,0.7747729394788218,0.8336904262753319
heart_disease,nb,4,0.8215819209039548,0.8204503629881896,0.8265297470214976,0.8215819209039548,0.8813988095238094
sonar,gb,14,0.7554006968641115,0.7504698712723068,0.7766671581345461,0.7554006968641115,0.8240493030996465
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,ab,11,0.8444444444444444,0.8437310456270268,0.8462548811199024,0.8444444444444444,0.8930555555555555
chd,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.9075644841269842
abalone,gb,7,0.814221413632066,0.8059875327069055,0.8069040626743386,0.814221413632066,0.8831297732640747
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,19,0.9841950007762772,0.984127503315328,0.9845509389800629,0.9841950007762772,0.9953196569598468


MUIN
vcd,lr,4,0.8258064516129032,0.825633597161486,0.8553988755086903,0.8258064516129032,0.9145238095238096
parkinsons,knn,2,0.8871794871794872,0.8791958041958041,0.9223746823746822,0.8871794871794872,0.9563473818646232
cirrhosis,rf,17,0.5190189328743545,0.4862423047333766,0.5297806286023973,0.5190189328743545,0.7055027648405098
diabetes,gb,6,0.7786860198624905,0.7752695342734092,0.7752295845858267,0.7786860198624905,0.8281233403214536
heart_disease,knn,10,0.8218079096045198,0.8145986829708398,0.8411088882881549,0.8218079096045198,0.8791459986772487
sonar,ab,37,0.7550522648083624,0.7516362397350451,0.7628980887052896,0.7550522648083624,0.7769482005408779
stroke,lr,7,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8456159339708899
shd,rf,3,0.8555555555555555,0.8548859748581734,0.857037260951054,0.8555555555555555,0.8555555555555555
chd,knn,8,0.8149152542372882,0.8097106878937774,0.8362167267095246,0.8149152542372882,0.8742683531746032
abalone,gb,7,0.8147001690399106,0.8066145339985583,0.8080004767952522,0.8147001690399106,0.8832136027947881
wine,ab,3,0.8778624918602128,0.855167186972906,0.8627148536584341,0.8778624918602128,0.8788384128809661
breast,lr,22,0.9806862288464524,0.9806180401290652,0.9809741792671433,0.9806862288464524,0.9955161849650876


EMM
vcd,knn,3,0.8161290322580645,0.8143324669652777,0.8490521126156347,0.8161290322580645,0.893690476190476
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,12,0.5094951233505451,0.4862056906808374,0.5258793315914658,0.5094951233505451,0.6947714875498039
diabetes,rf,7,0.7865546218487396,0.7806410758949343,0.7850661647344648,0.7865546218487396,0.8259818308874912
heart_disease,knn,10,0.8150282485875706,0.8087381344613419,0.8370312819860949,0.8150282485875706,0.8681464947089947
sonar,gb,15,0.764924506387921,0.7629158854132907,0.7723089235766121,0.764924506387921,0.8391397961306428
stroke,lr,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470627919045148
shd,nb,7,0.8555555555555555,0.8549396448555123,0.8566381689874702,0.8555555555555555,0.8869444444444443
chd,rf,3,0.8250847457627118,0.8212674358996253,0.8320372124174369,0.8250847457627118,0.8588748346560846
abalone,gb,7,0.8149391169813484,0.8067992839320395,0.8076779520166516,0.8149391169813484,0.8833940512116654
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,25,0.9806862288464524,0.9806166875346004,0.9809728802031188,0.9806862288464524,0.9957148792843192


