dataset,model,k,accuracy,fmeasure,precision,recall,roc
abalone,rf,7,0.8209245623585364,0.8094485752772785,0.8032205943858554,0.8209245623585364,0.8770038525863726
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,27,0.9806862288464524,0.9806280879164012,0.9809305893070814,0.9806862288464524,0.9957130162542872


RFE
vcd,lr,4,0.8258064516129032,0.825633597161486,0.8553988755086903,0.8258064516129032,0.9145238095238096
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,17,0.5096672403901319,0.4848962837766781,0.4970864616858499,0.5096672403901319,0.7020548718086376
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,lr,10,0.8084745762711864,0.7917509294405795,0.8433488637616916,0.8084745762711864,0.9027777777777776
sonar,gb,15,0.7646922183507548,0.7576857701596378,0.7915127007560419,0.7646922183507548,0.8190586644476806
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,ab,11,0.8444444444444444,0.8437310456270268,0.8462548811199024,0.8444444444444444,0.8930555555555555
chd,lr,10,0.8084745762711864,0.7917509294405795,0.8433488637616916,0.8084745762711864,0.9011739417989416
abalone,gb,7,0.814221413632066,0.8060772033135587,0.807167410838565,0.814221413632066,0.8830284494665884
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,16,0.9824406148113648,0.9823963835781188,0.9826793124869508,0.9824406148113648,0.9937386376831184


EM
vcd,lr,4,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9154761904761906
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,15,0.5120195065978199,0.4849393107409903,0.5110107045137676,0.5120195065978199,0.7000543844653143
diabetes,lr,5,0.7708683473389355,0.7625831986844046,0.7662935301204801,0.7708683473389355,0.8288930817610064
heart_disease,knn,10,0.8183615819209038,0.8137409368796789,0.8307724516871456,0.8183615819209038,0.8563409391534391
sonar,knn,2,0.7504065040650406,0.7456914452332835,0.7581891216498245,0.7504065040650406,0.7911041189931349
stroke,lr,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470627919045148
shd,nb,7,0.8555555555555555,0.8549396448555123,0.8566381689874702,0.8555555555555555,0.8869444444444443
chd,ab,3,0.8184745762711862,0.8169856470354846,0.8226669335021202,0.8184745762711862,0.8540013227513228
abalone,gb,7,0.8137429447325445,0.8056759601741008,0.8064287118782973,0.8137429447325445,0.8829841753523798
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,20,0.9806862288464524,0.9805982374190704,0.981135452837828,0.9806862288464524,0.9955823008680854


RFC
vcd,knn,5,0.8064516129032258,0.8066868888419542,0.8330658715378112,0.8064516129032258,0.8765476190476191
parkinsons,knn,2,0.8871794871794872,0.8791958041958041,0.9223746823746822,0.8871794871794872,0.9563473818646232
cirrhosis,lr,4,0.5024956970740103,0.4357171082452286,0.4188848805952446,0.5024956970740103,0.6867530665165887
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.906886574074074
sonar,gb,18,0.7601626016260162,0.7549776214835772,0.7841498835401275,0.7601626016260162,0.8405148741418763
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,ab,11,0.8444444444444444,0.8437310456270268,0.8462548811199024,0.8444444444444444,0.8930555555555555
chd,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.9075644841269842
abalone,gb,7,0.8146998825315876,0.8066700481569962,0.8076407435491673,0.8146998825315876,0.8832284513964334
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,23,0.9841950007762768,0.9841462505596564,0.984457731136314,0.9841950007762768,0.99564908832842


MUIN
vcd,lr,4,0.8258064516129032,0.825633597161486,0.8553988755086903,0.8258064516129032,0.9145238095238096
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,16,0.5070281124497992,0.4819783893020011,0.5061371648695988,0.5070281124497992,0.697857500822854
diabetes,gb,6,0.7760716407775231,0.7730835349487459,0.772743611642445,0.7760716407775231,0.827734102026555
heart_disease,lr,11,0.8085310734463278,0.7894251513101198,0.8463447873657485,0.8085310734463278,0.9019262566137568
sonar,gb,50,0.7554006968641115,0.7500483755577012,0.7809274323127184,0.7554006968641115,0.8003858955689619
stroke,lr,9,0.9574255041304128,0.9373705875850646,0.9282313327774884,0.9574255041304128,0.8439482788444905
shd,ab,7,0.8592592592592592,0.8586942649968596,0.8612022182610417,0.8592592592592592,0.9019444444444444
chd,knn,10,0.8385310734463276,0.8335985761082794,0.8549232399742713,0.8385310734463276,0.8831555886243386
abalone,rf,7,0.8146961579233876,0.8039369891726652,0.7999471603255884,0.8146961579233876,0.8753926466658276
wine,ab,3,0.8859344475797698,0.8654983647516108,0.8715374691529515,0.8859344475797698,0.861963133346112
breast,lr,27,0.9806862288464524,0.9806166875346004,0.9809728802031188,0.9806862288464524,0.9948576038487602


EMM
vcd,knn,3,0.8161290322580645,0.8143324669652777,0.8490521126156347,0.8161290322580645,0.893690476190476
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,12,0.5070854847963282,0.4821787949372713,0.5094324824802562,0.5070854847963282,0.6938152316990078
diabetes,ab,4,0.7748068924539512,0.7674833746247814,0.7712062036564254,0.7748068924539512,0.836154786862334
heart_disease,lr,5,0.8085310734463278,0.7894038005437116,0.846772043324975,0.8085310734463278,0.9097718253968252
sonar,ab,6,0.7698025551684088,0.7685381270990217,0.779313172414417,0.7698025551684088,0.8417131266902433
stroke,lr,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470627919045148
shd,nb,7,0.8555555555555555,0.8549396448555123,0.8566381689874702,0.8555555555555555,0.8869444444444443
chd,knn,6,0.8149152542372882,0.8082090523659138,0.8439668348738021,0.8149152542372882,0.848284556878307
abalone,gb,7,0.8144606480818268,0.8061995432861389,0.80665722502607,0.8144606480818268,0.8831047848628055
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,25,0.9806862288464524,0.9806166875346004,0.9809728802031188,0.9806862288464524,0.9957148792843192


