dataset,model,k,accuracy,fmeasure,precision,recall,roc
abalone,rf,7,0.8151806434976937,0.8040109794809354,0.79788100481612,0.8151806434976937,0.8758708999965551
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,21,0.9806862288464524,0.9806180401290652,0.9809741792671433,0.9806862288464524,0.9954506756300076


RFE
vcd,knn,3,0.8161290322580645,0.8143324669652777,0.8490521126156347,0.8161290322580645,0.893690476190476
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,15,0.5190763052208835,0.4869374854012761,0.5056965924441836,0.5190763052208835,0.7100144536002426
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,lr,10,0.8084745762711864,0.7917509294405795,0.8433488637616916,0.8084745762711864,0.9027777777777776
sonar,gb,6,0.7552845528455284,0.7489486980950396,0.7822418089375267,0.7552845528455284,0.8228125650093613
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,ab,11,0.8444444444444444,0.8437310456270268,0.8462548811199024,0.8444444444444444,0.8930555555555555
chd,lr,10,0.8084745762711864,0.7917509294405795,0.8433488637616916,0.8084745762711864,0.9011739417989416
abalone,gb,7,0.814221413632066,0.8060772033135587,0.807167410838565,0.814221413632066,0.8830615454533659
wine,ab,3,0.8815362491860214,0.8646297468869936,0.86931927570149,0.8815362491860214,0.8497725384959427
breast,lr,24,0.9824406148113648,0.9823776263609864,0.98277414416073,0.9824406148113648,0.9952522629315949


EM
vcd,knn,3,0.8161290322580645,0.8143324669652777,0.8490521126156347,0.8161290322580645,0.893690476190476
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,16,0.5144004589787723,0.48740294712256,0.5141603852887972,0.5144004589787723,0.7006155402276336
diabetes,ab,3,0.7721670486376369,0.7646038405269192,0.7690525771794532,0.7721670486376369,0.8358382250174703
heart_disease,knn,11,0.8251412429378533,0.8200483424646983,0.8424351590856627,0.8251412429378533,0.8688161375661376
sonar,rf,10,0.7555168408826946,0.7521987676329921,0.7718424870510562,0.7555168408826946,0.8352184314541293
stroke,lr,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470627919045148
shd,nb,7,0.8555555555555555,0.8549396448555123,0.8566381689874702,0.8555555555555555,0.8869444444444443
chd,rf,3,0.8352542372881355,0.8314076795345532,0.8412014438610372,0.8352542372881355,0.8578703703703704
abalone,gb,7,0.8147001690399106,0.8066317767788995,0.8079928271841039,0.8147001690399106,0.8831908619248214
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,25,0.9806862288464524,0.9806166875346004,0.9809728802031188,0.9806862288464524,0.9957148792843192


RFC
vcd,lr,5,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9152380952380952
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,16,0.5214285714285716,0.4914330134565527,0.5018718950847985,0.5214285714285716,0.7046097437697555
diabetes,rf,7,0.7748068924539513,0.7694114013318669,0.7731122669756324,0.7748068924539513,0.8343001397624039
heart_disease,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.906886574074074
sonar,rf,20,0.7456445993031359,0.7389616480699969,0.7758958408348653,0.7456445993031359,0.8077064697316413
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,ab,11,0.8444444444444444,0.8437310456270268,0.8462548811199024,0.8444444444444444,0.8930555555555555
chd,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.9075644841269842
abalone,gb,7,0.814221413632066,0.8058860636132031,0.8067727414650194,0.814221413632066,0.8831226910134816
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,22,0.9806862288464524,0.9806180401290652,0.9809741792671433,0.9806862288464524,0.9955161849650876


MUIN
vcd,lr,4,0.8258064516129032,0.825633597161486,0.8553988755086903,0.8258064516129032,0.9145238095238096
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,14,0.5166379804934023,0.4873026324540873,0.5246110958974414,0.5166379804934023,0.6936487176528123
diabetes,gb,5,0.7760716407775232,0.772659314750525,0.7729202563218726,0.7760716407775232,0.8277313067784766
heart_disease,knn,11,0.8251977401129945,0.8167596758933492,0.8443781140567428,0.8251977401129945,0.8781622023809523
sonar,ab,37,0.7550522648083624,0.7516362397350451,0.7628980887052896,0.7550522648083624,0.7769482005408779
stroke,lr,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470870091679641
shd,ab,5,0.8518518518518519,0.8511472436479247,0.8536297058546225,0.8518518518518519,0.9026388888888888
chd,knn,9,0.8350847457627119,0.8310474903013914,0.8501741584413605,0.8350847457627119,0.871556712962963
abalone,gb,7,0.8147001690399106,0.8066919774592662,0.8075913822725193,0.8147001690399106,0.8832113814287652
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,22,0.9806862288464524,0.9806180401290652,0.9809741792671433,0.9806862288464524,0.9955161849650876


EMM
vcd,knn,3,0.8161290322580645,0.8143324669652777,0.8490521126156347,0.8161290322580645,0.893690476190476
parkinsons,knn,5,0.8923076923076924,0.8955885969598343,0.9153747686005752,0.8923076923076924,0.922669220945083
cirrhosis,rf,17,0.5071428571428571,0.4767804293891961,0.5088729759130757,0.5071428571428571,0.704173560540766
diabetes,ab,4,0.7748068924539512,0.7674833746247814,0.7712062036564254,0.7748068924539512,0.836154786862334
heart_disease,ab,3,0.8184745762711862,0.8169856470354846,0.8226669335021202,0.8184745762711862,0.8540013227513228
sonar,lr,6,0.7687572590011615,0.7648748626273217,0.7794259101096921,0.7687572590011615,0.8337185354691077
stroke,lr,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470627919045148
shd,nb,7,0.8555555555555555,0.8549396448555123,0.8566381689874702,0.8555555555555555,0.8869444444444443
chd,ab,3,0.8184745762711862,0.8169856470354846,0.8226669335021202,0.8184745762711862,0.8540013227513228
abalone,gb,7,0.8137426582242215,0.8055829760484885,0.806630956534517,0.8137426582242215,0.8832035072433643
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,25,0.9806862288464524,0.9806166875346004,0.9809728802031188,0.9806862288464524,0.9957148792843192


