dataset,model,k,accuracy,fmeasure,precision,recall,roc
abalone,rf,7,0.8168544251210497,0.8058378685616032,0.8004729441340022,0.8168544251210497,0.8757569690606003
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,21,0.9806862288464524,0.9806180401290652,0.9809741792671433,0.9806862288464524,0.9954506756300076


RFE
vcd,lr,5,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9152380952380952
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,lr,4,0.5024956970740103,0.4357171082452286,0.4188848805952446,0.5024956970740103,0.6867530665165887
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,lr,10,0.8084745762711864,0.7917509294405795,0.8433488637616916,0.8084745762711864,0.9027777777777776
sonar,gb,14,0.7601626016260162,0.7566950923048483,0.7821925463477031,0.7601626016260162,0.8465716663199501
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,ab,11,0.8444444444444444,0.8437310456270268,0.8462548811199024,0.8444444444444444,0.8930555555555555
chd,lr,10,0.8084745762711864,0.7917509294405795,0.8433488637616916,0.8084745762711864,0.9011739417989416
abalone,gb,7,0.8144609345901499,0.8064443573679027,0.8074301941628376,0.8144609345901499,0.8831629966681595
wine,ab,3,0.8815362491860214,0.8646297468869936,0.86931927570149,0.8815362491860214,0.8497725384959427
breast,lr,20,0.9841950007762768,0.9841462505596564,0.984457731136314,0.9841950007762768,0.9951873818275718


EM
vcd,ab,4,0.8096774193548386,0.8103887982556177,0.8467255220325478,0.8096774193548386,0.9016666666666666
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,16,0.5023809523809524,0.4745621530629381,0.4844281866875753,0.5023809523809524,0.7041733755170144
diabetes,ab,3,0.7721670486376369,0.7646038405269192,0.7690525771794532,0.7721670486376369,0.8358382250174703
heart_disease,knn,10,0.8183615819209038,0.8137409368796789,0.8307724516871456,0.8183615819209038,0.8563409391534391
sonar,rf,4,0.7607433217189314,0.7592800723911434,0.7740744347697839,0.7607433217189314,0.8192334096109839
stroke,lr,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470627919045148
shd,nb,7,0.8555555555555555,0.8549396448555123,0.8566381689874702,0.8555555555555555,0.8869444444444443
chd,knn,8,0.8149152542372882,0.8097106878937774,0.8362167267095246,0.8149152542372882,0.8742683531746032
abalone,gb,7,0.8147001690399106,0.8067161160420703,0.8081311269413506,0.8147001690399106,0.8831585368222236
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,25,0.9806862288464524,0.9806166875346004,0.9809728802031188,0.9806862288464524,0.9957148792843192


RFC
vcd,rf,4,0.8096774193548388,0.8044757417645233,0.8567531975899634,0.8096774193548388,0.9071428571428573
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,15,0.5047905909351693,0.4689603068409882,0.5109829391509946,0.5047905909351693,0.7121835587686353
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.906886574074074
sonar,nb,2,0.7511033681765389,0.7488971439038902,0.7638030004428857,0.7511033681765389,0.7712481797378823
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,ab,11,0.8444444444444444,0.8437310456270268,0.8462548811199024,0.8444444444444444,0.8930555555555555
chd,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.9075644841269842
abalone,gb,7,0.8147001690399106,0.8066750622366483,0.8075987238396409,0.8147001690399106,0.8832042091442638
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,22,0.9841950007762768,0.9841462505596564,0.984457731136314,0.9841950007762768,0.9954513038610648


MUIN
vcd,lr,4,0.8258064516129032,0.825633597161486,0.8553988755086903,0.8258064516129032,0.9145238095238096
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,15,0.5216006884681584,0.4920745565884591,0.4988257311267806,0.5216006884681584,0.7063093291737715
diabetes,gb,5,0.7786860198624904,0.7754285862442085,0.7759127570247577,0.7786860198624904,0.8287837176799441
heart_disease,lr,7,0.8084745762711865,0.7917529171793435,0.8447466940521003,0.8084745762711865,0.9022321428571428
sonar,nb,2,0.7511033681765389,0.7488971439038902,0.7638030004428857,0.7511033681765389,0.7712481797378823
stroke,lr,7,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8447268144413966
shd,nb,7,0.8555555555555555,0.8549396448555123,0.8566381689874702,0.8555555555555555,0.8869444444444443
chd,knn,10,0.8385310734463276,0.8335985761082794,0.8549232399742713,0.8385310734463276,0.8831555886243386
abalone,gb,7,0.8146998825315876,0.8064357319458102,0.8069497010967586,0.8146998825315876,0.8832242301868771
wine,ab,3,0.8815362491860214,0.8646297468869936,0.86931927570149,0.8815362491860214,0.8497725384959427
breast,lr,22,0.9806862288464524,0.9806180401290652,0.9809741792671433,0.9806862288464524,0.9955161849650876


EMM
vcd,knn,3,0.8161290322580645,0.8143324669652777,0.8490521126156347,0.8161290322580645,0.893690476190476
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,16,0.521514629948365,0.4871761523749397,0.5252137221933856,0.521514629948365,0.7116359707736691
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,rf,3,0.8285875706214689,0.824541196431082,0.8357699850730567,0.8285875706214689,0.8597222222222222
sonar,gb,12,0.7889663182346108,0.7866700558166286,0.801303950995344,0.7889663182346108,0.8438142292490118
stroke,lr,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470627919045148
shd,nb,7,0.8555555555555555,0.8549396448555123,0.8566381689874702,0.8555555555555555,0.8869444444444443
chd,ab,3,0.8184745762711862,0.8169856470354846,0.8226669335021202,0.8184745762711862,0.8540013227513228
abalone,gb,7,0.8144609345901499,0.8068181926470326,0.8081447759864592,0.8144609345901499,0.8832883565728562
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,25,0.9806862288464524,0.9806166875346004,0.9809728802031188,0.9806862288464524,0.9957148792843192


